scenario,label,k,batch_size,latency_s,output_tok_s_per_gpu,speedup_vs_baseline,acceptance_rate_pct,mean_acceptance_length,accepted_tokens_per_draft,output_json
PARD OpenMath ISL=1024 OSL=1024,PARD K=12,12,16,12.219059178140014,335.2140242783809,1.1433364570995512,21.805616821055725,3.6166740185266875,2.6166740185266875,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_235b_a22b_pard_openmath_isl1024_osl1024_k12_v0202_retry3_standalone_specdec_breakdown_k12_20260604_195136/breakdown.json
PARD OpenMath ISL=1024 OSL=1024,PARD K=12,12,32,13.8680742518045,590.7092687316745,1.2202543075328471,22.838731751824817,3.740647810218978,2.740647810218978,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_235b_a22b_pard_openmath_isl1024_osl1024_k12_v0202_retry3_standalone_specdec_breakdown_k12_20260604_195136/breakdown.json
PARD OpenMath ISL=1024 OSL=1024 highbatch,baseline,0,64,20.297597465047147,807.1891280834376,1.0,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen235b_pard_openmath_isl1024_osl1024_bs64_128_baseline_20260608_070934/breakdown.json
PARD OpenMath ISL=1024 OSL=1024 highbatch,baseline,0,128,23.870086423004977,1372.7641961287409,1.0,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen235b_pard_openmath_isl1024_osl1024_bs64_128_baseline_20260608_070934/breakdown.json
PARD OpenMath ISL=1024 OSL=1024 highbatch,PARD K=5,5,64,16.12135559413582,1016.2917072531864,1.2590502918024116,45.007435312778824,3.250371765638941,2.250371765638941,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen235b_pard_openmath_isl1024_osl1024_bs64_128_public_pard_k5_20260608_070934/breakdown.json
PARD OpenMath ISL=1024 OSL=1024 highbatch,PARD K=5,5,128,20.407122238073498,1605.7139080033958,1.1696939012042884,44.76507912994099,3.2382539564970494,2.2382539564970494,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen235b_pard_openmath_isl1024_osl1024_bs64_128_public_pard_k5_20260608_070934/breakdown.json
PARD OpenMath ISL=1024 OSL=1024 highbatch,PARD K=9,9,64,17.11099725216627,957.5128648872741,1.1862311217703836,28.89961660601849,3.6009654945416645,2.6009654945416645,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen235b_pard_openmath_isl1024_osl1024_bs64_128_public_pard_k9_20260608_070934/breakdown.json
PARD OpenMath ISL=1024 OSL=1024 highbatch,PARD K=9,9,128,22.96640654793009,1426.7795848520893,1.0393479002990276,28.783844573318255,3.590546011598643,2.590546011598643,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen235b_pard_openmath_isl1024_osl1024_bs64_128_public_pard_k9_20260608_070934/breakdown.json
PARD long ISL=10000 OSL=1000,baseline,0,1,11.791422131005675,21.201853111731303,1.0,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_235b_a22b_pard_isl10k_osl1k_baseline_v0202_standalone_baseline_breakdown_k0_20260604_185902/breakdown.json
PARD long ISL=10000 OSL=1000,baseline,0,2,12.224466775543988,40.90157952740233,1.0,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_235b_a22b_pard_isl10k_osl1k_baseline_v0202_standalone_baseline_breakdown_k0_20260604_185902/breakdown.json
