model,benchmark,target_model,drafter,job_id,k,batch_size,isl,osl,tp,gpus_allocated,latency_s,output_tok_s,output_tok_s_per_gpu,speedup_vs_baseline,acceptance_rate_pct,mean_acceptance_length,accepted_tokens_per_draft,output_json
Qwen3-30B-A3B,synthetic_static,Qwen/Qwen3-30B-A3B-Thinking-2507,RedHatAI/Qwen3-30B-A3B-Thinking-2507-speculator.eagle3,3186814,3,8,1000,512,1,4,1.151093954918906,3558.3541921115907,3558.3541921115907,1.7081599547786026,83.12020460358056,3.493606138107417,2.493606138107417,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_thinking2507_publichf_vllm_spec_k3_bs1-32_isl1000_osl512_20260606_004331/breakdown.json
Qwen3-30B-A3B,synthetic_static,Qwen/Qwen3-30B-A3B-Thinking-2507,RedHatAI/Qwen3-30B-A3B-Thinking-2507-speculator.eagle3,3186814,3,16,1000,512,1,4,1.1805871030082926,6938.920456716575,6938.920456716575,1.9241542609223408,83.3404527979496,3.500213583938488,2.500213583938488,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_thinking2507_publichf_vllm_spec_k3_bs1-32_isl1000_osl512_20260606_004331/breakdown.json
Qwen3-30B-A3B,synthetic_static,Qwen/Qwen3-30B-A3B-Thinking-2507,RedHatAI/Qwen3-30B-A3B-Thinking-2507-speculator.eagle3,3186814,3,32,1000,512,1,4,1.5377758879913017,10654.34835332304,10654.34835332304,1.8610318867766071,81.20805369127517,3.436241610738255,2.436241610738255,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen30ba3b_thinking2507_publichf_vllm_spec_k3_bs1-32_isl1000_osl512_20260606_004331/breakdown.json
Qwen3-32B,synthetic_static,Qwen/Qwen3-32B,,3124816,0,1,1000,512,1,4,6.719589593820274,76.19512960596062,76.19512960596062,1.0,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_32b_vllm_baseline_bs1-32_cuda_graph_qwen3_32b_20260602_210805/breakdown.json
Qwen3-32B,synthetic_static,Qwen/Qwen3-32B,,3124816,0,2,1000,512,1,4,6.824808572884649,150.04083837141016,150.04083837141016,1.0,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_32b_vllm_baseline_bs1-32_cuda_graph_qwen3_32b_20260602_210805/breakdown.json
Qwen3-32B,synthetic_static,Qwen/Qwen3-32B,,3124816,0,4,1000,512,1,4,6.9486978109925985,294.7314814525587,294.7314814525587,1.0,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_32b_vllm_baseline_bs1-32_cuda_graph_qwen3_32b_20260602_210805/breakdown.json
Qwen3-32B,synthetic_static,Qwen/Qwen3-32B,,3124816,0,8,1000,512,1,4,7.197682305937633,569.0720743010648,569.0720743010648,1.0,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_32b_vllm_baseline_bs1-32_cuda_graph_qwen3_32b_20260602_210805/breakdown.json
Qwen3-32B,synthetic_static,Qwen/Qwen3-32B,,3124816,0,16,1000,512,1,4,7.707392188021913,1062.8757172537837,1062.8757172537837,1.0,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_32b_vllm_baseline_bs1-32_cuda_graph_qwen3_32b_20260602_210805/breakdown.json
Qwen3-32B,synthetic_static,Qwen/Qwen3-32B,,3124816,0,32,1000,512,1,4,8.597489658975974,1905.6725451125997,1905.6725451125997,1.0,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_32b_vllm_baseline_bs1-32_cuda_graph_qwen3_32b_20260602_210805/breakdown.json
Qwen3-32B,synthetic_static,Qwen/Qwen3-32B,RedHatAI/Qwen3-32B-speculator.eagle3,3124817,1,1,1000,512,1,4,4.406691394993686,116.18694256231973,116.18694256231973,1.5248604886319481,94.67680608365019,1.946768060836502,0.9467680608365019,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_32b_vllm_spec_k1_bs1-32_cuda_graph_qwen3_32b_20260602_210805/breakdown.json
Qwen3-32B,synthetic_static,Qwen/Qwen3-32B,RedHatAI/Qwen3-32B-speculator.eagle3,3124817,1,2,1000,512,1,4,5.744164010000532,178.26789036963888,178.26789036963888,1.188129127407004,87.0201096892139,1.870201096892139,0.870201096892139,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_32b_vllm_spec_k1_bs1-32_cuda_graph_qwen3_32b_20260602_210805/breakdown.json
Qwen3-32B,synthetic_static,Qwen/Qwen3-32B,RedHatAI/Qwen3-32B-speculator.eagle3,3124817,1,4,1000,512,1,4,4.778871110000182,428.55309399627686,428.55309399627686,1.4540458721416183,83.90287769784173,1.8390287769784173,0.8390287769784173,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/vllm-benchmark/vllm-runs/qwen3_32b_vllm_spec_k1_bs1-32_cuda_graph_qwen3_32b_20260602_210805/breakdown.json
