domain,model,temperature,top_p,batch_size,isl,osl,method,job_id,tok_s_gpu,baseline_tok_s_gpu,speedup,acceptance_pct,mean_accept_len,source
SWE,Qwen3-30B-A3B,1.0,,8,4096,32768,suffix_k32,2159195,549.6814423215682,152.0632394071262,3.6148213366011475,81.40718336755869,7.409559406501303,docs/lyris_swebench_qwen30ba3b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-30B-A3B,1.0,,8,4096,32768,eagle3_k3,2159196,158.35621044753444,152.0632394071262,1.0413839075436224,11.054610970284088,1.3316383291085225,docs/lyris_swebench_qwen30ba3b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-30B-A3B,1.0,,16,4096,32768,baseline,2159200,298.2729877169295,298.2729877169295,1.0,,,docs/lyris_swebench_qwen30ba3b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-30B-A3B,1.0,,16,4096,32768,suffix_k32,2159201,912.3665250941428,298.2729877169295,3.058830543381312,87.50056850914163,8.449053011970445,docs/lyris_swebench_qwen30ba3b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-30B-A3B,1.0,,16,4096,32768,eagle3_k3,2159202,277.59986676442037,298.2729877169295,0.9306906028911724,10.48479909734846,1.3145439729204538,docs/lyris_swebench_qwen30ba3b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-30B-A3B,1.0,,32,4096,32768,baseline,2159207,533.3991489084059,533.3991489084059,1.0,,,docs/lyris_swebench_qwen30ba3b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-30B-A3B,1.0,,32,4096,32768,suffix_k32,2159208,653.1351770189738,533.3991489084059,1.2244773512586324,78.01305449914608,7.005443286835805,docs/lyris_swebench_qwen30ba3b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-30B-A3B,1.0,,32,4096,32768,eagle3_k3,2159209,515.4189329880679,533.3991489084059,0.9662912549501921,11.943874812539645,1.3583162443761894,docs/lyris_swebench_qwen30ba3b_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-32B,1.0,,4,4096,32768,baseline,2159150,32.9131866314243,32.9131866314243,1.0,,,docs/lyris_swebench_qwen32_osl32k_temp01_bsweep_20260619_metrics_live.csv
SWE,Qwen3-32B,1.0,,4,4096,32768,suffix_k32,2159151,44.60756544788962,32.9131866314243,1.355309832117561,59.6184917203635,3.599866325052913,docs/lyris_swebench_qwen32_osl32k_temp01_bsweep_20260619_metrics_live.csv
