domain,temperature,model,method,rows,batches,isl,osl,tp,total_gpus,baseline_tok_s_per_gpu,tok_s_per_gpu,speedup_vs_baseline,acceptance_pct,mean_accept_len,source_group,source_file
SWE,0.0,Qwen3-235B-A22B,eagle3_k3,2,1/2,4096,32768,4.0,4,3.1185986038110527,6.8986817000460725,2.32636912546855,54.578900784441856,2.6373670235332556,lyris_core_20260616,docs/lyris_swebench_osl32k_temp01_core_matrix_20260616_metrics_live.csv
SWE,0.0,Qwen3-235B-A22B,suffix_k32,2,1/2,4096,32768,4.0,4,3.1185986038110527,17.263664023249678,5.642925446600554,79.1886397790432,6.263974078481839,lyris_core_20260616,docs/lyris_swebench_osl32k_temp01_core_matrix_20260616_metrics_live.csv
SWE,0.0,Qwen3-30B-A3B,eagle3_k3,2,1/2,4096,32768,1.0,1,29.783960688575036,32.95644211829114,1.1117174725610597,12.309575238032533,1.369287257140976,lyris_core_20260616,docs/lyris_swebench_osl32k_temp01_core_matrix_20260616_metrics_live.csv
SWE,0.0,Qwen3-30B-A3B,suffix_k32,2,1/2,4096,32768,1.0,1,29.783960688575036,243.29042818775972,8.348164538277693,92.2705290943552,9.944839714045452,lyris_core_20260616,docs/lyris_swebench_osl32k_temp01_core_matrix_20260616_metrics_live.csv
SWE,0.0,Qwen3-32B,eagle3_k3,2,1/2,4096,32768,2.0,2,12.293823281770901,29.340388311438826,2.3801147348475746,69.09586872877179,3.0728760618631537,lyris_core_20260616,docs/lyris_swebench_osl32k_temp01_core_matrix_20260616_metrics_live.csv
SWE,0.0,Qwen3-32B,suffix_k32,2,1/2,4096,32768,2.0,2,12.293823281770901,80.23012948901234,6.526548633169174,84.85797271560884,8.059830595533525,lyris_core_20260616,docs/lyris_swebench_osl32k_temp01_core_matrix_20260616_metrics_live.csv
SWE,1.0,Qwen3-235B-A22B,eagle3_k3,2,1/2,4096,32768,4.0,4,3.1277273947987685,4.788725559808784,1.5501189179347417,24.058275652370824,1.7217482695711248,lyris_core_20260616,docs/lyris_swebench_osl32k_temp01_core_matrix_20260616_metrics_live.csv
SWE,1.0,Qwen3-235B-A22B,suffix_k32,2,1/2,4096,32768,4.0,4,3.1277273947987685,6.947160428244677,2.374102513102707,52.84087910012178,2.888871381115619,lyris_core_20260616,docs/lyris_swebench_osl32k_temp01_core_matrix_20260616_metrics_live.csv
SWE,1.0,Qwen3-30B-A3B,eagle3_k3,2,1/2,4096,32768,1.0,1,29.181326013076216,30.848639518904506,1.0660245364226706,10.98891762505656,1.3296675287516968,lyris_core_20260616,docs/lyris_swebench_osl32k_temp01_core_matrix_20260616_metrics_live.csv
SWE,1.0,Qwen3-30B-A3B,suffix_k32,2,1/2,4096,32768,1.0,1,29.181326013076216,237.7201431639577,8.260533962224164,90.7835375621384,9.37355775641392,lyris_core_20260616,docs/lyris_swebench_osl32k_temp01_core_matrix_20260616_metrics_live.csv
SWE,1.0,Qwen3-32B,eagle3_k3,2,1/2,4096,32768,2.0,2,12.376714114638053,22.82835790169611,1.8595986510911915,49.03087979925819,2.4709263939777455,lyris_core_20260616,docs/lyris_swebench_osl32k_temp01_core_matrix_20260616_metrics_live.csv
SWE,1.0,Qwen3-32B,suffix_k32,2,1/2,4096,32768,2.0,2,12.376714114638053,27.87866518423364,2.1743437478211676,52.22717245914072,3.2126034529455803,lyris_core_20260616,docs/lyris_swebench_osl32k_temp01_core_matrix_20260616_metrics_live.csv
