source_group,source_file,domain,temperature,model,method,batch_size,isl,osl,tp,total_gpus,output_tok_s_per_gpu,speedup_vs_baseline,acceptance_rate_pct,mean_acceptance_length,label,dataset,job_id,tok_s_per_gpu,acceptance_pct,mean_accept_len
oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv,Math,0.0,Qwen3-30B-A3B,eagle3_k3,8,4096,32768,,4,138.85550855849635,1.1236291625610044,9.065177342475014,1.2719553202742504,qwen30ba3b_math500_osl32k_eagle3_t00_offset0_n8_isl4096_osl32768_bs8_k3_20260617_qmath_osl32k_bsweep,MATH-500,3365979,138.85550855849635,9.065177342475014,1.2719553202742504
oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv,Math,0.0,Qwen3-30B-A3B,pard_k5,8,4096,32768,,4,187.6232773074077,1.5182615954271692,44.61443659802073,3.2307218299010363,qwen30ba3b_math500_osl32k_pard_t00_offset0_n8_isl4096_osl32768_bs8_k5_20260617_qmath_osl32k_bsweep,MATH-500,3365978,187.6232773074077,44.61443659802073,3.2307218299010363
oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv,Math,0.0,Qwen3-30B-A3B,suffix_k32,8,4096,32768,,4,637.5968273875981,5.159481223658255,85.47462977353257,8.193278888575989,qwen30ba3b_math500_osl32k_suffix_t00_offset0_n8_isl4096_osl32768_bs8_k32_20260617_qmath_osl32k_bsweep,MATH-500,3365977,637.5968273875981,85.47462977353257,8.193278888575989
oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv,Math,0.0,Qwen3-30B-A3B,baseline,16,4096,32768,,4,276.78294939393896,1.0,,,qwen30ba3b_math500_osl32k_baseline_t00_offset0_n16_isl4096_osl32768_bs16_k0_20260617_qmath_osl32k_bsweep,MATH-500,3365980,276.78294939393896,,
oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv,Math,0.0,Qwen3-30B-A3B,eagle3_k3,16,4096,32768,,4,253.7347200740099,0.9167281461145028,9.525187572245358,1.2857556271673607,qwen30ba3b_math500_osl32k_eagle3_t00_offset0_n16_isl4096_osl32768_bs16_k3_20260617_qmath_osl32k_bsweep,MATH-500,3365983,253.7347200740099,9.525187572245358,1.2857556271673607
oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv,Math,0.0,Qwen3-30B-A3B,pard_k5,16,4096,32768,,4,368.60823921682424,1.3317591998493823,46.97354470319227,3.348677235159613,qwen30ba3b_math500_osl32k_pard_t00_offset0_n16_isl4096_osl32768_bs16_k5_20260617_qmath_osl32k_bsweep,MATH-500,3365982,368.60823921682424,46.97354470319227,3.348677235159613
oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv,Math,0.0,Qwen3-30B-A3B,suffix_k32,16,4096,32768,,4,1139.9211557464798,4.11846596129755,84.58274346723293,8.04872653537743,qwen30ba3b_math500_osl32k_suffix_t00_offset0_n16_isl4096_osl32768_bs16_k32_20260617_qmath_osl32k_bsweep,MATH-500,3365981,1139.9211557464798,84.58274346723293,8.04872653537743
oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv,Math,0.0,Qwen3-30B-A3B,baseline,32,4096,32768,,4,507.06701709355434,1.0,,,qwen30ba3b_math500_osl32k_baseline_t00_offset0_n32_isl4096_osl32768_bs32_k0_20260617_qmath_osl32k_bsweep,MATH-500,3365984,507.06701709355434,,
oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv,Math,0.0,Qwen3-30B-A3B,eagle3_k3,32,4096,32768,,4,550.3130950862574,1.085286710700657,9.94254866029419,1.2982764598088257,qwen30ba3b_math500_osl32k_eagle3_t00_offset0_n32_isl4096_osl32768_bs32_k3_20260617_qmath_osl32k_bsweep,MATH-500,3365987,550.3130950862574,9.94254866029419,1.2982764598088257
oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv,Math,0.0,Qwen3-30B-A3B,pard_k5,32,4096,32768,,4,423.2070867314504,0.8346176589383023,46.128352768300296,3.306417638415015,qwen30ba3b_math500_osl32k_pard_t00_offset0_n32_isl4096_osl32768_bs32_k5_20260617_qmath_osl32k_bsweep,MATH-500,3365986,423.2070867314504,46.128352768300296,3.306417638415015
oci_qmath_bsweep_20260617,docs/qmath_vllm_standalone_batch_sweep_status_20260617.csv,Math,0.0,Qwen3-30B-A3B,suffix_k32,32,4096,32768,,4,1591.2031067866956,3.1380528670692796,82.01356680238281,7.532895446019848,qwen30ba3b_math500_osl32k_suffix_t00_offset0_n32_isl4096_osl32768_bs32_k32_20260617_qmath_osl32k_bsweep,MATH-500,3365985,1591.2031067866956,82.01356680238281,7.532895446019848
