checked_at,job_id,domain,model_group,method,k,temperature,batch_size,isl,osl,state,exit_code,elapsed,time_limit,live_generation_tok_s,live_tok_s_gpu_approx,running_reqs,waiting_reqs,gpu_kv_cache_pct,prefix_cache_hit_pct,live_acceptance_pct,live_mean_accept_len,live_accepted_tput,live_drafted_tput,engine_log_samples,specdec_log_samples,fatal_log_matches,breakdown_present,breakdown_valid,final_tok_s_gpu,final_acceptance_pct,final_mean_accept_len,partial,logs_dir
2026-06-20T10:39:47+00:00,3460400,math,qwen235b,pard2,16,1.0,32,4096,32768,COMPLETED,0:0,03:25:56,1-00:00:00,19.3,4.8250,2,0,6.3,45.2,0.0,1.01,0.10,306.62,593,593,0,1,1,43.4963,0.1144,0.0183,False,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_pard2_t10_offset0_n32_isl4096_osl32768_bs32_k16_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_pard2_k16
2026-06-20T10:39:47+00:00,3460281,math,qwen235b,pard,16,0.0,1,4096,32768,COMPLETED,0:0,00:40:41,1-00:00:00,17.9,4.4750,1,0,2.9,43.6,12.8,3.05,12.05,94.01,215,215,0,1,1,7.6069,23.6906,3.7905,False,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_pard_t00_offset0_n1_isl4096_osl32768_bs1_k16_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_pard_k16
2026-06-20T10:39:47+00:00,3460282,math,qwen235b,pard,16,0.0,2,4096,32768,COMPLETED,0:0,00:53:55,1-00:00:00,17.9,4.4750,1,0,2.9,46.2,12.5,3.00,11.91,95.27,290,290,0,1,1,10.7068,16.9907,2.7185,False,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_pard_t00_offset0_n2_isl4096_osl32768_bs2_k16_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_pard_k16
2026-06-20T10:39:47+00:00,3460283,math,qwen235b,pard,16,0.0,4,4096,32768,COMPLETED,0:0,00:59:54,08:00:00,14.6,3.6500,1,0,2.9,44.8,9.2,2.47,8.69,94.80,329,329,0,1,1,19.7447,18.3441,2.9351,False,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_pard_t00_offset0_n4_isl4096_osl32768_bs4_k16_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_pard_k16
2026-06-20T10:39:47+00:00,3460284,math,qwen235b,pard,16,0.0,8,4096,32768,COMPLETED,0:0,01:12:13,12:00:00,20.7,5.1750,1,0,2.9,46.1,15.7,3.51,14.77,94.22,404,404,0,1,1,38.9195,16.8974,2.7036,False,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_pard_t00_offset0_n8_isl4096_osl32768_bs8_k16_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_pard_k16
2026-06-20T10:39:47+00:00,3460287,math,qwen235b,pard,16,0.0,16,4096,32768,COMPLETED,0:0,01:15:02,18:00:00,20.7,5.1750,1,0,2.9,46.1,15.8,3.53,14.86,94.17,417,417,0,1,1,60.6383,17.5098,2.8016,False,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_pard_t00_offset0_n16_isl4096_osl32768_bs16_k16_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_pard_k16
2026-06-20T10:39:47+00:00,3460289,math,qwen235b,pard,16,0.0,32,4096,32768,COMPLETED,0:0,01:32:22,1-00:00:00,15.8,3.9500,1,0,2.9,45.2,10.4,2.67,9.89,94.91,522,522,0,1,1,99.1811,17.4459,2.7913,False,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_pard_t00_offset0_n32_isl4096_osl32768_bs32_k16_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_pard_k16
2026-06-20T10:39:47+00:00,3460295,math,qwen235b,pard,16,1.0,1,4096,32768,COMPLETED,0:0,01:07:19,1-00:00:00,20.0,5.0000,1,0,2.9,43.6,14.8,3.37,14.03,94.84,375,375,0,1,1,8.6454,26.5863,4.2538,False,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_pard_t10_offset0_n1_isl4096_osl32768_bs1_k16_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_pard_k16
2026-06-20T10:39:47+00:00,3460300,math,qwen235b,pard,16,1.0,2,4096,32768,COMPLETED,0:0,01:15:41,1-00:00:00,12.0,3.0000,1,0,2.9,46.2,6.2,2.00,5.98,95.65,423,423,0,1,1,8.3723,13.7458,2.1993,False,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_pard_t10_offset0_n2_isl4096_osl32768_bs2_k16_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_pard_k16
2026-06-20T10:39:47+00:00,3460301,math,qwen235b,pard,16,1.0,4,4096,32768,COMPLETED,0:0,01:49:29,08:00:00,7.6,1.9000,1,0,2.9,44.8,2.2,1.35,1.98,90.33,592,592,0,1,1,7.8130,5.9579,0.9533,False,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen235b_math500_osl32k_pard_t10_offset0_n4_isl4096_osl32768_bs4_k16_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen235b_pard_k16
