job_id,label,method,model,prompt_count,isl,osl,batch_sizes,log_path,latest_prompt_tok_s,latest_generation_tok_s,running_reqs,waiting_reqs,gpu_kv_cache_pct,prefix_cache_hit_pct,live_acceptance_pct,live_mean_acceptance_length,live_accepted_throughput,live_drafted_throughput,completed_batch_rows,last_completed_bs,last_completed_out_tok_s_gpu,last_completed_latency_s,last_completed_coverage_pct,tail_status
2101580,qwen235b_n2_isl4096_osl32768_pard2_k5,pard2,Qwen/Qwen3-235B-A22B,2,4096,32768,1,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_pilot_lyris_tp4_fp8kv_pard2_k5_pard2_offset0_n2_isl4096_osl32768_bs1_k5_20260611/slurm-2101580.out,0.0,5.9,1,0,2.2,27.0,1.1,1.05,0.30,27.77,1,1,1.89,8666.240,0.0,ok
2101581,qwen235b_n2_isl4096_osl32768_eagle3_k1,eagle3,Qwen/Qwen3-235B-A22B,2,4096,32768,1,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_pilot_lyris_tp4_fp8kv_eagle3_k1_eagle3_offset0_n2_isl4096_osl32768_bs1_k1_20260611/slurm-2101581.out,0.0,13.4,1,0,1.4,25.1,87.5,1.88,6.24,7.13,1,1,3.75,4364.568,0.0,ok
2101582,qwen235b_n2_isl4096_osl32768_eagle3_k3,eagle3,Qwen/Qwen3-235B-A22B,2,4096,32768,1,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_pilot_lyris_tp4_fp8kv_eagle3_k3_eagle3_offset0_n2_isl4096_osl32768_bs1_k3_20260611/slurm-2101582.out,0.0,17.5,1,0,1.4,25.1,50.5,2.51,10.57,20.94,1,1,5.19,3157.494,0.0,ok
2101640,qwen235b_n1_isl4096_osl256_pard2_native_k3,pard2,Qwen/Qwen3-235B-A22B,1,4096,256,1,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl256_nativepard2_smoke_lyris_tp4_fp8kv_pard2_offset0_n1_isl4096_osl256_bs1_k3_20260611/slurm-2101640.out,,,,,,,,,,,0,,,,,ok
2101655,qwen235b_n1_isl4096_osl256_pard2_native_k3,pard2,Qwen/Qwen3-235B-A22B,1,4096,256,1,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl256_nativepard2_smoke_retry1_lyris_tp4_fp8kv_pard2_offset0_n1_isl4096_osl256_bs1_k3_20260611/slurm-2101655.out,0.0,14.2,1,0,0.0,48.6,36.8,2.10,7.42,20.19,1,1,3.30,19.395,0.0,ok
2101759,qwen235b_n16_isl4096_osl1024_pard2_native_k3,pard2,Qwen/Qwen3-235B-A22B,16,4096,1024,1 2,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl1k_nativepard2_lyris_tp4_fp8kv_pard2_offset0_n16_isl4096_osl1024_bs1_2_k3_20260611/slurm-2101759.out,0.0,27.9,2,0,0.3,53.6,35.5,2.07,14.39,40.49,2,2,6.92,591.647,0.0,ok
2101818,qwen235b_n2_isl4096_osl32768_pard2_native_k1,pard2,Qwen/Qwen3-235B-A22B,2,4096,32768,1,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_nativepard2_pilot_lyris_tp4_fp8kv_pard2_offset0_n2_isl4096_osl32768_bs1_k1_20260611/slurm-2101818.out,0.0,5.9,1,0,2.2,27.0,5.4,1.05,0.30,5.58,1,1,1.88,8732.377,0.0,ok
2101819,qwen235b_n2_isl4096_osl32768_pard2_native_k2,pard2,Qwen/Qwen3-235B-A22B,2,4096,32768,1,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_nativepard2_pilot_lyris_tp4_fp8kv_pard2_offset0_n2_isl4096_osl32768_bs1_k2_20260611/slurm-2101819.out,0.0,6.0,1,0,2.2,27.0,3.6,1.07,0.40,11.12,1,1,1.90,8642.613,0.0,ok
2101761,qwen235b_n2_isl4096_osl32768_pard2_native_k3,pard2,Qwen/Qwen3-235B-A22B,2,4096,32768,1,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl32k_nativepard2_pilot_lyris_tp4_fp8kv_pard2_offset0_n2_isl4096_osl32768_bs1_k3_20260611/slurm-2101761.out,0.0,5.7,1,0,2.2,27.0,1.2,1.04,0.20,16.65,1,1,1.91,8566.060,0.0,ok
2104334,qwen235b_n1_isl4096_osl65536_baseline,baseline,Qwen/Qwen3-235B-A22B,1,4096,65536,1,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl64k_pilot_lyris_tp4_fp8kv_baseline_offset0_n1_isl4096_osl65536_bs1_20260612/slurm-2104334.out,0.0,8.3,1,0,2.9,48.6,,,,,1,1,2.09,7839.240,0.0,ok
2104335,qwen235b_n1_isl4096_osl65536_suffix_k32,suffix,Qwen/Qwen3-235B-A22B,1,4096,65536,1,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl64k_pilot_lyris_tp4_fp8kv_suffix_offset0_n1_isl4096_osl65536_bs1_k32_arctic_20260612/slurm-2104335.out,0.0,7.1,1,0,2.9,48.6,16.0,1.80,3.15,19.69,1,1,3.82,4284.497,0.0,ok
2104336,qwen235b_n1_isl4096_osl65536_suffix_k8,suffix,Qwen/Qwen3-235B-A22B,1,4096,65536,1,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl64k_suffix_k8_pilot_lyris_tp4_fp8kv_suffix_offset0_n1_isl4096_osl65536_bs1_k8_arctic_20260612/slurm-2104336.out,0.0,15.5,1,0,2.9,48.6,41.8,3.92,11.55,27.64,1,1,4.40,3724.161,0.0,ok
2104337,qwen235b_n1_isl4096_osl65536_pard_k5,pard,Qwen/Qwen3-235B-A22B,1,4096,65536,1,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl64k_pard_pilot_lyris_tp4_fp8kv_pard_offset0_n1_isl4096_osl65536_bs1_k5_20260612/slurm-2104337.out,,,,,,,,,,,0,,,,,ok
2104995,qwen235b_n1_isl4096_osl65536_pard_k3,pard,Qwen/Qwen3-235B-A22B,1,4096,65536,1,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl64k_pard_k3_diag_lyris_tp4_fp8kv_pard_offset0_n1_isl4096_osl65536_bs1_k3_20260612/slurm-2104995.out,,,,,,,,,,,0,,,,,ok
2104338,qwen235b_n1_isl4096_osl65536_eagle3_k3,eagle3,Qwen/Qwen3-235B-A22B,1,4096,65536,1,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl64k_eagle3_pilot_lyris_tp4_fp8kv_eagle3_offset0_n1_isl4096_osl65536_bs1_k3_20260612/slurm-2104338.out,0.0,3.9,1,0,3.1,46.8,0.0,1.00,0.00,11.83,1,1,2.29,7159.452,0.0,ok
2104340,qwen235b_n1_isl4096_osl65536_pard2_native_k1,pard2,Qwen/Qwen3-235B-A22B,1,4096,65536,1,/lustre/fsw/coreai_dlalgo_llm/users/sna/vllm-benchmark/vllm-runs/qwen235b_a22b_swev_osl64k_nativepard2_pilot_lyris_tp4_fp8kv_pard2_offset0_n1_isl4096_osl65536_bs1_k1_20260612/slurm-2104340.out,,,,,,,,,,,0,,,,,ok
