domain,model,temperature,top_p,batch_size,isl,osl,method,job_id,state,tok_s_gpu,baseline_tok_s_gpu,speedup,acceptance_pct,mean_accept_len,basis,source,source_label,source_priority,logs_dir,valid_result
Math,Qwen3-8B,0.0,1.0,2,4096.0,32768.0,pard2_k11,3457569,COMPLETED,30.2116,,,0.0463,0.0051,final breakdown,docs/oci_qmath_pard2_k_sweep_live_log_metrics_20260620.csv,"OCI Math PARD-2 K sweep, refreshed 2026-06-21",10,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard2_ksweep_20260620/qwen8_math500_osl32k_pard2_t00_offset0_n2_isl4096_osl32768_bs2_k11_20260620_qmath_pard2_ksweep_qwen8_k11,True
Math,Qwen3-8B,0.0,1.0,4,4096.0,32768.0,pard2_k11,3457591,COMPLETED,60.1389,,,0.0546,0.006,final breakdown,docs/oci_qmath_pard2_k_sweep_live_log_metrics_20260620.csv,"OCI Math PARD-2 K sweep, refreshed 2026-06-21",10,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard2_ksweep_20260620/qwen8_math500_osl32k_pard2_t00_offset0_n4_isl4096_osl32768_bs4_k11_20260620_qmath_pard2_ksweep_qwen8_k11,True
Math,Qwen3-8B,0.0,1.0,8,4096.0,32768.0,pard2_k11,3457592,COMPLETED,111.3562,,,0.113,0.0124,final breakdown,docs/oci_qmath_pard2_k_sweep_live_log_metrics_20260620.csv,"OCI Math PARD-2 K sweep, refreshed 2026-06-21",10,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard2_ksweep_20260620/qwen8_math500_osl32k_pard2_t00_offset0_n8_isl4096_osl32768_bs8_k11_20260620_qmath_pard2_ksweep_qwen8_k11,True
Math,Qwen3-8B,0.0,1.0,16,4096.0,32768.0,pard2_k11,3457593,COMPLETED,199.4272,,,0.164,0.018,final breakdown,docs/oci_qmath_pard2_k_sweep_live_log_metrics_20260620.csv,"OCI Math PARD-2 K sweep, refreshed 2026-06-21",10,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard2_ksweep_20260620/qwen8_math500_osl32k_pard2_t00_offset0_n16_isl4096_osl32768_bs16_k11_20260620_qmath_pard2_ksweep_qwen8_k11,True
Math,Qwen3-8B,0.0,1.0,32,4096.0,32768.0,pard2_k11,3457594,COMPLETED,215.1625,,,0.1055,0.0116,final breakdown,docs/oci_qmath_pard2_k_sweep_live_log_metrics_20260620.csv,"OCI Math PARD-2 K sweep, refreshed 2026-06-21",10,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard2_ksweep_20260620/qwen8_math500_osl32k_pard2_t00_offset0_n32_isl4096_osl32768_bs32_k11_20260620_qmath_pard2_ksweep_qwen8_k11,True
Math,Qwen3-8B,0.0,1.0,1,4096.0,32768.0,pard2_k16,3460401,COMPLETED,15.6875,,,0.0074,0.0012,final breakdown,docs/oci_qmath_extra_k_live_log_metrics_20260620.csv,"OCI Math extra-K sweep, refreshed 2026-06-21",20,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen8_math500_osl32k_pard2_t00_offset0_n1_isl4096_osl32768_bs1_k16_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen8_pard2_k16,True
Math,Qwen3-8B,0.0,1.0,2,4096.0,32768.0,pard2_k16,3460402,COMPLETED,30.141,,,0.032,0.0051,final breakdown,docs/oci_qmath_extra_k_live_log_metrics_20260620.csv,"OCI Math extra-K sweep, refreshed 2026-06-21",20,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen8_math500_osl32k_pard2_t00_offset0_n2_isl4096_osl32768_bs2_k16_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen8_pard2_k16,True
Math,Qwen3-8B,0.0,1.0,4,4096.0,32768.0,pard2_k16,3460403,COMPLETED,58.7047,,,0.0372,0.006,final breakdown,docs/oci_qmath_extra_k_live_log_metrics_20260620.csv,"OCI Math extra-K sweep, refreshed 2026-06-21",20,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen8_math500_osl32k_pard2_t00_offset0_n4_isl4096_osl32768_bs4_k16_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen8_pard2_k16,True
Math,Qwen3-8B,0.0,1.0,8,4096.0,32768.0,pard2_k16,3460404,COMPLETED,109.0906,,,0.0476,0.0076,final breakdown,docs/oci_qmath_extra_k_live_log_metrics_20260620.csv,"OCI Math extra-K sweep, refreshed 2026-06-21",20,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen8_math500_osl32k_pard2_t00_offset0_n8_isl4096_osl32768_bs8_k16_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen8_pard2_k16,True
Math,Qwen3-8B,0.0,1.0,16,4096.0,32768.0,pard2_k16,3460405,COMPLETED,179.5415,,,0.049,0.0078,final breakdown,docs/oci_qmath_extra_k_live_log_metrics_20260620.csv,"OCI Math extra-K sweep, refreshed 2026-06-21",20,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen8_math500_osl32k_pard2_t00_offset0_n16_isl4096_osl32768_bs16_k16_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen8_pard2_k16,True
Math,Qwen3-8B,0.0,1.0,32,4096.0,32768.0,pard2_k16,3460406,COMPLETED,183.6793,,,0.0725,0.0116,final breakdown,docs/oci_qmath_extra_k_live_log_metrics_20260620.csv,"OCI Math extra-K sweep, refreshed 2026-06-21",20,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_extra_k_20260620/qwen8_math500_osl32k_pard2_t00_offset0_n32_isl4096_osl32768_bs32_k16_20260620_qmath_extra_eagle3k8_pardk16_pard2k16_qwen8_pard2_k16,True
Math,Qwen3-8B,0.0,1.0,1,4096.0,32768.0,pard2_k3,3457458,COMPLETED,15.2545,,,0.0479,0.0014,final breakdown,docs/oci_qmath_pard2_k_sweep_live_log_metrics_20260620.csv,"OCI Math PARD-2 K sweep, refreshed 2026-06-21",10,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard2_ksweep_20260620/qwen8_math500_osl32k_pard2_t00_offset0_n1_isl4096_osl32768_bs1_k3_20260620_qmath_pard2_ksweep_qwen8_k3,True
Math,Qwen3-8B,0.0,1.0,2,4096.0,32768.0,pard2_k3,3457472,COMPLETED,29.6781,,,0.102,0.0031,final breakdown,docs/oci_qmath_pard2_k_sweep_live_log_metrics_20260620.csv,"OCI Math PARD-2 K sweep, refreshed 2026-06-21",10,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard2_ksweep_20260620/qwen8_math500_osl32k_pard2_t00_offset0_n2_isl4096_osl32768_bs2_k3_20260620_qmath_pard2_ksweep_qwen8_k3,True
Math,Qwen3-8B,0.0,1.0,4,4096.0,32768.0,pard2_k3,3457485,COMPLETED,62.0763,,,0.369,0.0111,final breakdown,docs/oci_qmath_pard2_k_sweep_live_log_metrics_20260620.csv,"OCI Math PARD-2 K sweep, refreshed 2026-06-21",10,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard2_ksweep_20260620/qwen8_math500_osl32k_pard2_t00_offset0_n4_isl4096_osl32768_bs4_k3_20260620_qmath_pard2_ksweep_qwen8_k3,True
Math,Qwen3-8B,0.0,1.0,8,4096.0,32768.0,pard2_k3,3457501,COMPLETED,117.5802,,,0.254,0.0076,final breakdown,docs/oci_qmath_pard2_k_sweep_live_log_metrics_20260620.csv,"OCI Math PARD-2 K sweep, refreshed 2026-06-21",10,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard2_ksweep_20260620/qwen8_math500_osl32k_pard2_t00_offset0_n8_isl4096_osl32768_bs8_k3_20260620_qmath_pard2_ksweep_qwen8_k3,True
Math,Qwen3-8B,0.0,1.0,16,4096.0,32768.0,pard2_k3,3457514,COMPLETED,229.3134,,,0.206,0.0062,final breakdown,docs/oci_qmath_pard2_k_sweep_live_log_metrics_20260620.csv,"OCI Math PARD-2 K sweep, refreshed 2026-06-21",10,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard2_ksweep_20260620/qwen8_math500_osl32k_pard2_t00_offset0_n16_isl4096_osl32768_bs16_k3_20260620_qmath_pard2_ksweep_qwen8_k3,True
Math,Qwen3-8B,0.0,1.0,32,4096.0,32768.0,pard2_k3,3457522,COMPLETED,250.437,,,0.3834,0.0115,final breakdown,docs/oci_qmath_pard2_k_sweep_live_log_metrics_20260620.csv,"OCI Math PARD-2 K sweep, refreshed 2026-06-21",10,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard2_ksweep_20260620/qwen8_math500_osl32k_pard2_t00_offset0_n32_isl4096_osl32768_bs32_k3_20260620_qmath_pard2_ksweep_qwen8_k3,True
Math,Qwen3-8B,0.0,1.0,1,4096.0,32768.0,pard2_k9,3457550,COMPLETED,16.3674,,,0.0132,0.0012,final breakdown,docs/oci_qmath_pard2_k_sweep_live_log_metrics_20260620.csv,"OCI Math PARD-2 K sweep, refreshed 2026-06-21",10,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_pard2_ksweep_20260620/qwen8_math500_osl32k_pard2_t00_offset0_n1_isl4096_osl32768_bs1_k9_20260620_qmath_pard2_ksweep_qwen8_k9,True
