domain,run_group,model,method,job_id,steps,completed_steps,max_steps,step_span,max_new_tokens,min_tokens,gen_tok_s_per_gpu,e2e_tok_s_per_gpu,generation_time_s,total_step_time_s,gen_speedup_vs_baseline,e2e_speedup_vs_baseline,acceptance_pct,mean_accept_len,draft_training_steps,draft_refit_steps,state,source_group,source_file,generation_time_speedup_vs_baseline,total_step_time_speedup_vs_baseline
NeMo-RL PerfCfg,Lyris perfcfg async-1off OSL4096,Qwen3-30B-A3B,PARD K=5,2152139,19,19,20.0,last 20,4096.0,,1894.6194736842103,933.6042105263158,,450.6205263157895,0.9480784288524458,0.9494154760490228,,,,,COMPLETED; partial_usable_with_errors,lyris_perfcfg_20260618,docs/lyris_nemorl_perfcfg_step20_live_speedups_20260618.csv,,0.9445022594574265
NeMo-RL PerfCfg,Lyris perfcfg async-1off OSL4096,Qwen3-30B-A3B,Suffix,2152138,19,19,20.0,last 20,4096.0,,1794.6721052631576,882.0326315789473,,477.2184210526316,0.8980641936264638,0.8969704949479702,,,,,COMPLETED; partial_usable_with_errors,lyris_perfcfg_20260618,docs/lyris_nemorl_perfcfg_step20_live_speedups_20260618.csv,,0.8918601765714695
NeMo-RL PerfCfg,Lyris perfcfg async-1off OSL4096,Qwen3-30B-A3B,baseline,2152136,19,19,20.0,last 20,4096.0,,1998.3784210526317,983.3463157894738,,425.6121052631579,1.0,1.0,,,,,COMPLETED; partial_usable_with_errors,lyris_perfcfg_20260618,docs/lyris_nemorl_perfcfg_step20_live_speedups_20260618.csv,,1.0
NeMo-RL PerfCfg,Lyris perfcfg async-1off OSL4096,Qwen3-30B-A3B,baseline fuse_loss=false,2152321,19,19,20.0,last 20,4096.0,,2052.318421052632,1009.9442105263156,,416.5915789473684,1.026991884736019,1.02704834940627,,,,,COMPLETED; partial_usable_with_errors,lyris_perfcfg_20260618,docs/lyris_nemorl_perfcfg_step20_live_speedups_20260618.csv,,1.0216531652862073
NeMo-RL PerfCfg,Lyris perfcfg async-1off OSL4096,Qwen3-32B,Eagle-3,2152196,19,19,20.0,last 20,4096.0,,2281.865263157895,1114.5952631578948,,189.0457894736842,1.1943700027327946,1.1880478869920843,,,,,COMPLETED; partial_usable_with_errors,lyris_perfcfg_20260618,docs/lyris_nemorl_perfcfg_step20_live_speedups_20260618.csv,,1.2031560162255315
NeMo-RL PerfCfg,Lyris perfcfg async-1off OSL4096,Qwen3-32B,PARD K=5,2152147,19,19,20.0,last 20,4096.0,,1794.2421052631578,881.4342105263158,,244.6405263157895,0.9391391256820968,0.9395213544793076,,,,,COMPLETED; partial_usable_with_errors,lyris_perfcfg_20260618,docs/lyris_nemorl_perfcfg_step20_live_speedups_20260618.csv,,0.929737939877414
NeMo-RL PerfCfg,Lyris perfcfg async-1off OSL4096,Qwen3-32B,PARD-2,2152218,19,19,20.0,last 20,4096.0,,1344.173157894737,659.9973684210527,,339.2626315789474,0.7035648091010871,0.7034916663394165,,,,,COMPLETED; partial_usable_with_errors,lyris_perfcfg_20260618,docs/lyris_nemorl_perfcfg_step20_live_speedups_20260618.csv,,0.6704292125802243
NeMo-RL PerfCfg,Lyris perfcfg async-1off OSL4096,Qwen3-32B,Suffix,2152146,19,19,20.0,last 20,4096.0,,873.3168421052632,431.7052631578947,,494.8905263157895,0.4571100037906503,0.4601549483038153,,,,,COMPLETED; partial_usable_with_errors,lyris_perfcfg_20260618,docs/lyris_nemorl_perfcfg_step20_live_speedups_20260618.csv,,0.4595997838969171
NeMo-RL PerfCfg,Lyris perfcfg async-1off OSL4096,Qwen3-32B,baseline,2152144,19,19,20.0,last 20,4096.0,,1910.517894736842,938.1736842105264,,227.4515789473684,1.0,1.0,,,,,COMPLETED; partial_usable_with_errors,lyris_perfcfg_20260618,docs/lyris_nemorl_perfcfg_step20_live_speedups_20260618.csv,,1.0
NeMo-RL PerfCfg,Lyris perfcfg async-1off OSL4096,Qwen3-32B,baseline fuse_loss=false,2152344,19,19,20.0,last 20,4096.0,,1864.5284210526315,912.557894736842,,238.57263157894735,0.9759282685543518,0.9726961117063948,,,,,COMPLETED; partial_usable_with_errors,lyris_perfcfg_20260618,docs/lyris_nemorl_perfcfg_step20_live_speedups_20260618.csv,,0.9533850443867916
NeMo-RL PerfCfg,Lyris perfcfg sync OSL4096,Qwen3-30B-A3B,Eagle-3,2152193,19,19,20.0,last 20,4096.0,,3226.283157894737,1371.578947368421,127.75263157894736,299.4005263157895,2.1507505423419704,1.391257924591258,63.93987614404589,2.873314154236251,,,COMPLETED; partial_usable,lyris_perfcfg_20260618,docs/lyris_nemorl_perfcfg_step20_live_speedups_20260618.csv,2.179738804432909,1.4085092843418692
