domain,model,temperature,top_p,batch_size,isl,osl,method,job_id,tok_s_gpu,baseline_tok_s_gpu,speedup,acceptance_pct,mean_accept_len,total_gpus,basis,source,source_label
Math,Qwen3-32B,0.0,,8,4096,32768,baseline,3423677,62.39320631259151,62.39320631259151,1.0,,,4,matched 6/19 aggregation,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv,6/19 batch aggregation
Math,Qwen3-32B,0.0,,8,4096,32768,suffix_k32,3423678,298.9475067924813,62.39320631259151,4.791347078634601,88.00519222693086,8.357313842520188,4,matched 6/19 aggregation,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv,6/19 batch aggregation
Math,Qwen3-32B,0.0,,8,4096,32768,eagle3_k3,3423681,155.87346014190453,62.39320631259151,2.4982441094784362,82.07403885521086,3.4622211656563255,4,matched 6/19 aggregation,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv,6/19 batch aggregation
Math,Qwen3-32B,0.0,,8,4096,32768,pard_k5,3423680,94.17761324413856,62.39320631259151,1.5094209579854958,56.724372576278626,3.8362186288139313,4,matched 6/19 aggregation,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv,6/19 batch aggregation
Math,Qwen3-32B,0.0,,16,4096,32768,baseline,3423682,123.60896347553637,123.60896347553637,1.0,,,4,matched 6/19 aggregation,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv,6/19 batch aggregation
Math,Qwen3-32B,0.0,,16,4096,32768,suffix_k32,3423683,261.2726177713766,123.60896347553637,2.1137028450455815,81.25393672174039,7.371759871661366,4,matched 6/19 aggregation,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv,6/19 batch aggregation
Math,Qwen3-32B,0.0,,16,4096,32768,eagle3_k3,3423685,176.77298597976954,123.60896347553637,1.430098441160013,83.79892137281448,3.5139676411844345,4,matched 6/19 aggregation,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv,6/19 batch aggregation
Math,Qwen3-32B,0.0,,16,4096,32768,pard_k5,3423684,180.75819340345774,123.60896347553637,1.4623388815911547,61.777642599784755,4.088882129989238,4,matched 6/19 aggregation,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv,6/19 batch aggregation
Math,Qwen3-32B,0.0,,32,4096,32768,baseline,3423686,142.83327671519808,142.83327671519808,1.0,,,4,matched 6/19 aggregation,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv,6/19 batch aggregation
Math,Qwen3-32B,0.0,,32,4096,32768,suffix_k32,3423713,701.3532102527809,142.83327671519808,4.91029279998415,80.83044822104824,7.360341885144009,4,matched 6/19 aggregation,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv,6/19 batch aggregation
Math,Qwen3-32B,0.0,,32,4096,32768,eagle3_k3,3423715,387.0626103466332,142.83327671519808,2.7098909949284113,77.18666965997494,3.315600089799248,4,matched 6/19 aggregation,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv,6/19 batch aggregation
Math,Qwen3-32B,0.0,,32,4096,32768,pard_k5,3423714,184.3661172663007,142.83327671519808,1.2907784621780882,51.12540825428265,3.5562704127141322,4,matched 6/19 aggregation,docs/oci_qmath_qwen32_math500_osl32k_batch_sweep_20260619_metrics_live.csv,6/19 batch aggregation
Math,Qwen3-235B-A22B,1.0,,1,4096,32768,baseline,3423819,1.9325440586386942,1.9325440586386942,1.0,,,4,matched 6/19 aggregation,docs/oci_qmath_qwen235b_baseline_qwen32_bs12_20260619_metrics_live.csv,6/19 batch aggregation
Math,Qwen3-235B-A22B,1.0,,1,4096,32768,suffix_k32,,7.554235970994704,1.9325440586386942,3.9089592484199263,59.24627354214926,3.734088598402324,4,reference vs 6/19 baseline; cross-run,docs/lyris_qwen235b_standalone_temp1rl_20260614_metrics.csv,Lyris 20260614 temp1/top_p1 Math500
Math,Qwen3-235B-A22B,1.0,,1,4096,32768,eagle3_k3,,4.482574689916388,1.9325440586386942,2.3195200491697787,43.07851058992252,2.292355317697676,4,reference vs 6/19 baseline; cross-run,docs/lyris_qwen235b_standalone_temp1rl_20260614_metrics.csv,Lyris 20260614 temp1/top_p1 Math500
Math,Qwen3-235B-A22B,1.0,,1,4096,32768,pard_k5,,4.540615248602761,1.9325440586386942,2.3495532887365176,34.70035890159419,2.7350179450797096,4,reference vs 6/19 baseline; cross-run,docs/lyris_qwen235b_standalone_temp1rl_20260614_metrics.csv,Lyris 20260614 temp1/top_p1 Math500
Math,Qwen3-235B-A22B,1.0,,2,4096,32768,baseline,3423821,3.9298626758296966,3.9298626758296966,1.0,,,4,matched 6/19 aggregation,docs/oci_qmath_qwen235b_baseline_qwen32_bs12_20260619_metrics_live.csv,6/19 batch aggregation
Math,Qwen3-235B-A22B,1.0,,2,4096,32768,suffix_k32,,23.18025101663274,3.9298626758296966,5.898488809596581,73.35639909062589,6.516373423715296,4,reference vs 6/19 baseline; cross-run,docs/lyris_qwen235b_standalone_temp1rl_20260614_metrics.csv,Lyris 20260614 temp1/top_p1 Math500
Math,Qwen3-235B-A22B,1.0,,2,4096,32768,eagle3_k3,,7.99332231899073,3.9298626758296966,2.033995327153036,42.043062696249265,2.261291880887478,4,reference vs 6/19 baseline; cross-run,docs/lyris_qwen235b_standalone_temp1rl_20260614_metrics.csv,Lyris 20260614 temp1/top_p1 Math500
Math,Qwen3-235B-A22B,1.0,,2,4096,32768,pard_k5,,7.199094128376422,3.9298626758296966,1.8318945780609255,28.836559420235858,2.4418279710117927,4,reference vs 6/19 baseline; cross-run,docs/lyris_qwen235b_standalone_temp1rl_20260614_metrics.csv,Lyris 20260614 temp1/top_p1 Math500
Math,Qwen3-235B-A22B,1.0,,4,4096,32768,baseline,,7.72670699575062,7.72670699575062,1.0,,,4,matched 6/17 qmath sweep,docs/qmath_vllm_standalone_batch_sweep_completed_metrics_live_20260617.csv,6/17 qmath sweep
Math,Qwen3-235B-A22B,1.0,,4,4096,32768,suffix_k32,,35.38662664684818,7.72670699575062,4.579781097731467,74.29014254930085,6.164256686513562,4,matched 6/17 qmath sweep,docs/qmath_vllm_standalone_batch_sweep_completed_metrics_live_20260617.csv,6/17 qmath sweep
Math,Qwen3-235B-A22B,1.0,,4,4096,32768,eagle3_k3,,13.739721021152153,7.72670699575062,1.7782117309105225,46.37258121404507,2.3911774364213523,4,matched 6/17 qmath sweep,docs/qmath_vllm_standalone_batch_sweep_completed_metrics_live_20260617.csv,6/17 qmath sweep
Math,Qwen3-235B-A22B,1.0,,4,4096,32768,pard_k5,,7.258329105930864,7.72670699575062,0.9393819527416601,17.861259153342864,1.8930629576671434,4,matched 6/17 qmath sweep,docs/qmath_vllm_standalone_batch_sweep_completed_metrics_live_20260617.csv,6/17 qmath sweep
Math,Qwen3-235B-A22B,1.0,,4,4096,32768,pard2_k1,,6.38883497622703,7.72670699575062,0.8268509443596909,1.1936196167446458,1.0119361961674465,4,matched 6/17 qmath sweep,docs/qmath_vllm_standalone_batch_sweep_completed_metrics_live_20260617.csv,6/17 qmath sweep
Math,Qwen3-235B-A22B,1.0,,8,4096,32768,baseline,,14.719009309432536,14.719009309432536,1.0,,,4,matched 6/17 qmath sweep,docs/qmath_vllm_standalone_batch_sweep_completed_metrics_live_20260617.csv,6/17 qmath sweep
Math,Qwen3-235B-A22B,1.0,,8,4096,32768,suffix_k32,,54.63261429523655,14.719009309432536,3.711704581926296,69.98438885816117,5.516972603029087,4,matched 6/17 qmath sweep,docs/qmath_vllm_standalone_batch_sweep_completed_metrics_live_20260617.csv,6/17 qmath sweep
Math,Qwen3-235B-A22B,1.0,,8,4096,32768,eagle3_k3,,25.202250629209786,14.719009309432536,1.7122246544853508,50.19468394924835,2.5058405184774504,4,matched 6/17 qmath sweep,docs/qmath_vllm_standalone_batch_sweep_completed_metrics_live_20260617.csv,6/17 qmath sweep
