domain,dataset,model,source,batch_size,method,measurement,tok_s_per_gpu,baseline_tok_s_per_gpu,speedup_vs_baseline,acceptance_pct,mean_acceptance_length,job_id,state,final_rows,note
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,32,Suffix K32,final_spec_vs_live_baseline,223.1537434699867,64.525,3.4584074927545396,78.92476127742981,6.456228240441199,,,,provisional: final spec breakdown / live baseline telemetry
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,32,PARD K5,live_only,118.15,64.525,1.831073227431228,26.2,2.31,2109578,RUNNING,0,live telemetry only: no final breakdown.json yet
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,32,PARD K9,final_breakdown_no_baseline,71.80661751757303,,,17.2067586165177,2.5486082754865933,,,1,full_osl32k_qwen235b_pard_k9
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,32,PARD K11,final_breakdown_no_baseline,69.24958772019768,,,12.059744219028518,2.326571864093137,,,1,full_osl32k_qwen235b_pard_k11
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,32,PARD-2 K1,live_only,15.55,64.525,0.2409918636187524,4.8,1.05,2109579,RUNNING,0,live telemetry only: no final breakdown.json yet
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,32,PARD-2 K9,final_breakdown_no_baseline,49.4461355232001,,,2.4480217743318304,1.2203219596898647,,,1,full_osl32k_qwen235b_pard2_k9
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,32,PARD-2 K11,final_breakdown_no_baseline,49.975904556849436,,,1.7757554546812173,1.1953331000149339,,,1,full_osl32k_qwen235b_pard2_k11
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,32,Eagle-3 K3,final_spec_vs_live_baseline,126.83143557619856,64.525,1.9656169790964517,56.89055240061951,2.7067165720185855,,,,provisional: final spec breakdown / live baseline telemetry
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,32,Eagle-3 K9,final_breakdown_no_baseline,108.23410656403995,,,18.251964085297416,2.6426767676767677,,,1,full_osl32k_qwen235b_eagle3_k9
SWE OSL32K,full,Qwen/Qwen3-235B-A22B,Lyris,32,Eagle-3 K11,final_breakdown_no_baseline,115.75942624109322,,,16.324163256659784,2.7956579582325762,,,1,full_osl32k_qwen235b_eagle3_k11
SWE OSL32K,verified,Qwen/Qwen3-235B-A22B,Lyris,2,Suffix K8,final_breakdown_no_baseline,19.951129844658315,,,83.57795324353616,5.762085391672548,,,1,verified_osl32k_qwen235b_suffix_k8
SWE OSL32K,verified,Qwen/Qwen3-235B-A22B,Lyris,2,Suffix K16,final_breakdown_no_baseline,18.94752863611662,,,71.52884345934693,5.632929991356957,,,1,verified_osl32k_qwen235b_suffix_k16
SWE OSL32K,verified,Qwen/Qwen3-235B-A22B,Lyris,2,Suffix K32,final_spec_vs_live_baseline,25.80173477418671,4.175,6.180056233338134,84.52071077140666,7.225756400310318,,,,provisional: final spec breakdown / live baseline telemetry
SWE OSL32K,verified,Qwen/Qwen3-235B-A22B,Lyris,2,PARD K5,live_only,4.175,4.175,1.0,10.2,1.51,2109519,RUNNING,0,live telemetry only: no final breakdown.json yet
SWE OSL32K,verified,Qwen/Qwen3-235B-A22B,Lyris,2,PARD K9,final_breakdown_no_baseline,5.602614552588358,,,8.771354977291137,1.7894219479562024,,,1,verified_osl32k_qwen235b_pard_k9
SWE OSL32K,verified,Qwen/Qwen3-235B-A22B,Lyris,2,PARD K11,final_breakdown_no_baseline,5.686502140466446,,,7.177451586397273,1.7895196745037,,,1,verified_osl32k_qwen235b_pard_k11
SWE OSL32K,verified,Qwen/Qwen3-235B-A22B,Lyris,2,PARD-2 K1,live_only,3.6,4.175,0.8622754491017964,5.8,1.06,2109521,RUNNING,0,live telemetry only: no final breakdown.json yet
SWE OSL32K,verified,Qwen/Qwen3-235B-A22B,Lyris,2,PARD-2 K9,final_breakdown_no_baseline,3.768119474151238,,,1.6790305613618044,1.1511127505225625,,,1,verified_osl32k_qwen235b_pard2_k9
SWE OSL32K,verified,Qwen/Qwen3-235B-A22B,Lyris,2,PARD-2 K11,final_breakdown_no_baseline,3.731025547976389,,,1.3741199165148295,1.1511531908166313,,,1,verified_osl32k_qwen235b_pard2_k11
SWE OSL32K,verified,Qwen/Qwen3-235B-A22B,Lyris,2,Eagle-3 K3,final_spec_vs_live_baseline,7.694697282528511,4.175,1.8430412652762902,46.326076650986394,2.3897822995295916,,,,provisional: final spec breakdown / live baseline telemetry
