source,job_id,model,method,shape,batch_size,output_tok_s_per_gpu,speedup_vs_final_baseline,acceptance_pct,mean_acceptance_length,latest_generation_tok_s,matching_live_baseline_tok_s,provisional_live_speedup,live_acceptance_pct,live_mean_acceptance_length,label
final_breakdown,,Qwen/Qwen3-8B,Eagle-3 K5,n4 ISL4096/OSL32768 BS4,4,229.49382397224088,1.5007079769724945,44.12426614481409,3.2062133072407044,,,,,,qwen8_eagle3_k5
final_breakdown,,Qwen/Qwen3-8B,Eagle-3 K9,n4 ISL4096/OSL32768 BS4,4,217.9760907032578,1.425391117049087,26.421318488737693,3.3779186639863923,,,,,,qwen8_eagle3_k9
live_log,2104340,Qwen/Qwen3-235B-A22B,PARD-2 native K1,n1 ISL4096/OSL65536 BS1,1,,,,,,8.3,,,,qwen235b_n1_isl4096_osl65536_pard2_native_k1
live_log,2104995,Qwen/Qwen3-235B-A22B,PARD K3,n1 ISL4096/OSL65536 BS1,1,,,,,,8.3,,,,qwen235b_n1_isl4096_osl65536_pard_k3
live_log,2104337,Qwen/Qwen3-235B-A22B,PARD K5,n1 ISL4096/OSL65536 BS1,1,,,,,,8.3,,,,qwen235b_n1_isl4096_osl65536_pard_k5
live_log,2102332,Qwen/Qwen3-30B-A3B,baseline,n1 ISL4096/OSL131072 BS1,1,,,,,20.1,20.1,1.0,,,full_osl128k_qwen30_baseline
live_log,2102333,Qwen/Qwen3-30B-A3B,suffix K32,n1 ISL4096/OSL131072 BS1,1,,,,,45.8,20.1,2.278606965174129,100.0,13.0,full_osl128k_qwen30_suffix_k32
live_log,2102334,Qwen/Qwen3-30B-A3B,PARD K5,n1 ISL4096/OSL131072 BS1,1,,,,,3.6,20.1,0.1791044776119403,0.0,1.0,full_osl128k_qwen30_pard_k5
live_log,2102304,Qwen/Qwen3-30B-A3B,PARD K5,n1 ISL4096/OSL131072 BS1,1,,,,,3.6,20.1,0.1791044776119403,0.0,1.0,verified_osl128k_qwen30_pard_k5
live_log,2102325,Qwen/Qwen3-30B-A3B,baseline,n2 ISL4096/OSL65536 BS1,1,,,,,19.0,19.0,1.0,,,full_osl64k_qwen30_baseline
live_log,2102326,Qwen/Qwen3-30B-A3B,suffix K32,n2 ISL4096/OSL65536 BS1,1,,,,,9.6,20.3,0.4729064039408867,9.9,1.4,full_osl64k_qwen30_suffix_k32
live_log,2102327,Qwen/Qwen3-30B-A3B,PARD K5,n2 ISL4096/OSL65536 BS1,1,,,,,6.9,20.3,0.33990147783251234,0.0,1.0,full_osl64k_qwen30_pard_k5
live_log,2102310,Qwen/Qwen3-30B-A3B,baseline,n4 ISL4096/OSL16384 BS1 2,1 2,,,,,38.7,38.7,1.0,,,full_osl16k_qwen30_baseline
