model,bench,variant,k,sample_method,tp,tag,step,num_sequences,wall_s,output_tok_s,len_p50,len_p90,len_max,total_tokens,mean_acceptance_length
Qwen3-30B-A3B,dapo,fixed_k3,3,greedy,1,qwen3_30ba3b_dapo_rollout_fixed_k3_20260712b,2,128,28.757930012012366,18231.075733928057,4096,4096,4096,524288,2.812871520848087
Qwen3-30B-A3B,dapo,fixed_k3,3,greedy,1,qwen3_30ba3b_dapo_rollout_fixed_k3_20260712b,3,128,28.708628264954314,18256.95032039644,4096,4096,4096,524132,2.8822041494141004
Qwen3-30B-A3B,math500,baseline,0,-,1,qwen3_30ba3b_math500_rollout_baseline_20260712,0,128,42.77406178181991,7665.089223286062,2240,4096,4096,327867,
Qwen3-30B-A3B,math500,baseline,0,-,1,qwen3_30ba3b_math500_rollout_baseline_20260712,1,128,51.57876057201065,8716.64993524434,4085,4096,4096,449594,
Qwen3-30B-A3B,math500,baseline,0,-,1,qwen3_30ba3b_math500_rollout_baseline_20260712,2,128,50.070933773880824,8943.95143542557,4096,4096,4096,447832,
Qwen3-30B-A3B,math500,baseline,0,-,1,qwen3_30ba3b_math500_rollout_baseline_20260712,3,128,48.33084539184347,7872.5086829168595,3262,4096,4096,380485,
Qwen3-30B-A3B,math500,dynamic,5,greedy,1,qwen3_30ba3b_math500_rollout_dynamic_20260712b,0,128,24.04684696700133,13720.6345785276,2227,4096,4096,329938,3.2316222570532918
Qwen3-30B-A3B,math500,dynamic,5,greedy,1,qwen3_30ba3b_math500_rollout_dynamic_20260712b,1,128,27.787793559997226,16262.752169375377,3931,4096,4096,451906,2.929338242920859
Qwen3-30B-A3B,math500,dynamic,5,greedy,1,qwen3_30ba3b_math500_rollout_dynamic_20260712b,2,128,27.408576406000066,16451.638834525133,4096,4096,4096,450916,3.0693891441211503
Qwen3-30B-A3B,math500,dynamic,5,greedy,1,qwen3_30ba3b_math500_rollout_dynamic_20260712b,3,128,23.725690653998754,16179.507926581777,3561,4096,4096,383870,3.2372265236239732
Qwen3-30B-A3B,math500,fixed_k3,3,greedy,1,qwen3_30ba3b_math500_rollout_fixed_k3_20260712,0,128,21.82836062600836,15038.69235186028,2234,4096,4096,328270,3.0374278098622836
Qwen3-30B-A3B,math500,fixed_k3,3,greedy,1,qwen3_30ba3b_math500_rollout_fixed_k3_20260712,1,128,26.405771850026213,17058.013019208633,3924,4096,4096,450430,2.85399332070139
Qwen3-30B-A3B,math500,fixed_k3,3,greedy,1,qwen3_30ba3b_math500_rollout_fixed_k3_20260712,2,128,25.63008826598525,17538.8003090328,4096,4096,4096,449521,2.9044674472099454
Qwen3-30B-A3B,math500,fixed_k3,3,greedy,1,qwen3_30ba3b_math500_rollout_fixed_k3_20260712,3,128,22.72400655801175,16723.371339902053,3418,4096,4096,380022,2.998445379145984
Qwen3-30B-A3B,openmath,baseline,0,-,1,qwen3_30ba3b_openmath_rollout_baseline_20260712,0,128,53.605061276000015,9256.644581472745,4096,4096,4096,496203,
Qwen3-30B-A3B,openmath,baseline,0,-,1,qwen3_30ba3b_openmath_rollout_baseline_20260712,1,128,55.353446395999526,9389.117278839587,4096,4096,4096,519720,
Qwen3-30B-A3B,openmath,baseline,0,-,1,qwen3_30ba3b_openmath_rollout_baseline_20260712,2,128,45.5101959349995,7348.155575459042,2871,4096,4096,334416,
Qwen3-30B-A3B,openmath,baseline,0,-,1,qwen3_30ba3b_openmath_rollout_baseline_20260712,3,128,49.11126109199995,8506.012484946115,4096,4096,4096,417741,
Qwen3-30B-A3B,openmath,dynamic,5,greedy,1,qwen3_30ba3b_openmath_rollout_dynamic_20260712b,0,128,29.69240128301317,16882.265439635434,4096,4096,4096,501275,3.0187991882989804
Qwen3-30B-A3B,openmath,dynamic,5,greedy,1,qwen3_30ba3b_openmath_rollout_dynamic_20260712b,1,128,29.79453026194824,17509.086245479477,4096,4096,4096,521675,2.888907961328475
Qwen3-30B-A3B,openmath,dynamic,5,greedy,1,qwen3_30ba3b_openmath_rollout_dynamic_20260712b,2,128,23.01698607200524,14684.72018632775,2818,4096,4096,337998,3.2541287495786992
Qwen3-30B-A3B,openmath,dynamic,5,greedy,1,qwen3_30ba3b_openmath_rollout_dynamic_20260712b,3,128,24.814414218999445,16747.765888497248,3805,4096,4096,415586,3.2269864811349325
Qwen3-30B-A3B,openmath,fixed_k3,3,greedy,1,qwen3_30ba3b_openmath_rollout_fixed_k3_20260712,0,128,27.592856586910784,18157.054468860668,4096,4096,4096,501005,2.991741262040261
Qwen3-30B-A3B,openmath,fixed_k3,3,greedy,1,qwen3_30ba3b_openmath_rollout_fixed_k3_20260712,1,128,28.63716030586511,18216.994786775536,4096,4096,4096,521683,2.8675384209484864
Qwen3-30B-A3B,openmath,fixed_k3,3,greedy,1,qwen3_30ba3b_openmath_rollout_fixed_k3_20260712,2,128,22.031968377064914,15118.394974946574,2769,4096,4096,333088,2.933386774253222
Qwen3-30B-A3B,openmath,fixed_k3,3,greedy,1,qwen3_30ba3b_openmath_rollout_fixed_k3_20260712,3,128,23.319009182974696,17803.329324262504,4096,4096,4096,415156,3.028401546654994
Qwen3-30B-A3B,swe_verified,baseline,0,-,1,qwen3_30ba3b_swe_verified_rollout_baseline_20260712,0,128,34.5020100409165,6155.14863476513,1495,2571,3733,212365,
Qwen3-30B-A3B,swe_verified,baseline,0,-,1,qwen3_30ba3b_swe_verified_rollout_baseline_20260712,1,128,47.97488369978964,6923.226788384197,2651,4096,4096,332141,
Qwen3-30B-A3B,swe_verified,baseline,0,-,1,qwen3_30ba3b_swe_verified_rollout_baseline_20260712,2,128,42.718924462096766,6024.402609394914,1714,4066,4096,257356,
Qwen3-30B-A3B,swe_verified,baseline,0,-,1,qwen3_30ba3b_swe_verified_rollout_baseline_20260712,3,128,44.907725441036746,6663.597344579551,2011,4096,4096,299247,
Qwen3-30B-A3B,swe_verified,dynamic,5,greedy,1,qwen3_30ba3b_swe_verified_rollout_dynamic_20260712,0,128,21.73359045397956,8968.743586695697,1454,2176,3369,194923,2.5011555943606996
Qwen3-30B-A3B,swe_verified,dynamic,5,greedy,1,qwen3_30ba3b_swe_verified_rollout_dynamic_20260712,1,128,28.16470590000972,11452.418539186261,2313,4096,4096,322554,2.5387152641108397
Qwen3-30B-A3B,swe_verified,dynamic,5,greedy,1,qwen3_30ba3b_swe_verified_rollout_dynamic_20260712,2,128,24.406975722988136,10237.15526396279,1785,3636,4096,249858,2.588596245737326
Qwen3-30B-A3B,swe_verified,dynamic,5,greedy,1,qwen3_30ba3b_swe_verified_rollout_dynamic_20260712,3,128,26.892652006004937,11113.184372194532,2016,4096,4096,298863,2.5714556221166425
Qwen3-30B-A3B,swe_verified,fixed_k3,3,greedy,1,qwen3_30ba3b_swe_verified_rollout_fixed_k3_20260712,0,128,18.309891555996728,10502.519876313481,1454,2138,3291,192300,2.45678270541159
Qwen3-30B-A3B,swe_verified,fixed_k3,3,greedy,1,qwen3_30ba3b_swe_verified_rollout_fixed_k3_20260712,1,128,26.723570190006285,12171.539868637721,2340,4096,4096,325267,2.45352960705016
Qwen3-30B-A3B,swe_verified,fixed_k3,3,greedy,1,qwen3_30ba3b_swe_verified_rollout_fixed_k3_20260712,2,128,21.942153652998968,11188.418597481032,1747,3239,4096,245498,2.516733504959025
Qwen3-30B-A3B,swe_verified,fixed_k3,3,greedy,1,qwen3_30ba3b_swe_verified_rollout_fixed_k3_20260712,3,128,25.02176054099982,12098.78895227823,2003,4096,4096,302733,2.4828163328930417
Qwen3-32B,dapo,baseline,0,-,2,qwen3_32b_dapo_rollout_baseline_20260712c,0,256,84.99672040902078,12311.086768577772,4096,4096,4096,1046402,
Qwen3-32B,dapo,baseline,0,-,2,qwen3_32b_dapo_rollout_baseline_20260712c,1,256,85.703423315892,12230.258249271552,4096,4096,4096,1048175,
Qwen3-32B,dapo,baseline,0,-,2,qwen3_32b_dapo_rollout_baseline_20260712c,2,256,83.40965130692348,12494.825043268012,4096,4096,4096,1042189,
Qwen3-32B,dapo,baseline,0,-,2,qwen3_32b_dapo_rollout_baseline_20260712c,3,256,86.36129687307402,12141.735221289018,4096,4096,4096,1048576,
Qwen3-32B,dapo,dynamic,5,greedy,2,qwen3_32b_dapo_rollout_dynamic_20260712,0,256,82.76271994097624,12647.107305638092,4096,4096,4096,1046709,1.7969217034499927
Qwen3-32B,dapo,dynamic,5,greedy,2,qwen3_32b_dapo_rollout_dynamic_20260712,1,256,80.28241179604083,13057.417889527038,4096,4096,4096,1048281,1.796675505247443
Qwen3-32B,dapo,dynamic,5,greedy,2,qwen3_32b_dapo_rollout_dynamic_20260712,2,256,79.85268071701284,13080.637877413941,4096,4096,4096,1044524,1.7901825349215872
Qwen3-32B,dapo,dynamic,5,greedy,2,qwen3_32b_dapo_rollout_dynamic_20260712,3,256,79.68175364396302,13159.549734375656,4096,4096,4096,1048576,1.7994528785658142
Qwen3-32B,dapo,fixed_k3,3,greedy,2,qwen3_32b_dapo_rollout_fixed_k3_20260712,0,256,72.91097874590196,14361.225401309715,4096,4096,4096,1047091,2.8298912514728616
Qwen3-32B,dapo,fixed_k3,3,greedy,2,qwen3_32b_dapo_rollout_fixed_k3_20260712,1,256,74.07703176909126,14155.210798247988,4096,4096,4096,1048576,2.813314410351479
Qwen3-32B,dapo,fixed_k3,3,greedy,2,qwen3_32b_dapo_rollout_fixed_k3_20260712,2,256,74.32753051095642,13968.041086027475,4096,4096,4096,1038210,2.8076233487026245
Qwen3-32B,dapo,fixed_k3,3,greedy,2,qwen3_32b_dapo_rollout_fixed_k3_20260712,3,256,72.73470675805584,14416.446380790056,4096,4096,4096,1048576,2.8328249987167817
Qwen3-32B,math500,baseline,0,-,2,qwen3_32b_math500_rollout_baseline_20260712,0,256,62.417513436987065,11575.052580865433,2714,4096,4096,722486,
Qwen3-32B,math500,baseline,0,-,2,qwen3_32b_math500_rollout_baseline_20260712,1,256,71.22183832200244,11440.12874697576,4096,4096,4096,814787,
Qwen3-32B,math500,baseline,0,-,2,qwen3_32b_math500_rollout_baseline_20260712,2,256,73.14309697999852,11951.585810470255,4096,4096,4096,874176,
Qwen3-32B,math500,baseline,0,-,2,qwen3_32b_math500_rollout_baseline_20260712,3,256,64.4250549239805,11511.313430389533,2722,4096,4096,741617,
Qwen3-32B,math500,dynamic,5,greedy,2,qwen3_32b_math500_rollout_dynamic_20260712,0,256,55.17545087495819,13121.777684078574,2852,4096,4096,724000,1.9312670765027322
Qwen3-32B,math500,dynamic,5,greedy,2,qwen3_32b_math500_rollout_dynamic_20260712,1,256,61.12403081700904,13275.335234832046,4096,4096,4096,811442,1.8310393153828968
Qwen3-32B,math500,dynamic,5,greedy,2,qwen3_32b_math500_rollout_dynamic_20260712,2,256,63.97204571904149,13817.629091965895,4096,4096,4096,883942,1.8270674982067592
Qwen3-32B,math500,dynamic,5,greedy,2,qwen3_32b_math500_rollout_dynamic_20260712,3,256,53.56567887600977,13766.576200908812,2751,4096,4096,737416,1.9453479965593488
Qwen3-32B,math500,fixed_k3,3,greedy,2,qwen3_32b_math500_rollout_fixed_k3_20260712c,0,256,55.60952596296556,13043.466698188678,2920,4096,4096,725341,2.9798929927511217
Qwen3-32B,math500,fixed_k3,3,greedy,2,qwen3_32b_math500_rollout_fixed_k3_20260712c,1,256,63.964473379950505,12706.991194502178,4096,4096,4096,812796,2.9317371793021847
Qwen3-32B,math500,fixed_k3,3,greedy,2,qwen3_32b_math500_rollout_fixed_k3_20260712c,2,256,64.69006620696746,13769.2547283877,4096,4096,4096,890734,2.9388359830261273
