model,bench,variant,k,sample_method,tp,tag,step,finished_s,output_tokens
Nemotron3-Super-120B (FP8),swe_verified,dynamic,3,greedy,4,nemotron3_super_swe_verified_rollout_dynamic_20260713c,1,34.11196073197061,123755
Nemotron3-Super-120B (FP8),swe_verified,dynamic,3,greedy,4,nemotron3_super_swe_verified_rollout_dynamic_20260713c,1,31.415197184018325,131072
Nemotron3-Super-120B (FP8),swe_verified,dynamic,3,greedy,4,nemotron3_super_swe_verified_rollout_dynamic_20260713c,1,33.697294269979466,119699
Nemotron3-Super-120B (FP8),swe_verified,dynamic,3,greedy,4,nemotron3_super_swe_verified_rollout_dynamic_20260713c,1,34.84332237200579,131072
Nemotron3-Super-120B (FP8),swe_verified,dynamic,3,greedy,4,nemotron3_super_swe_verified_rollout_dynamic_20260713c,2,32.93575979897287,130520
Nemotron3-Super-120B (FP8),swe_verified,dynamic,3,greedy,4,nemotron3_super_swe_verified_rollout_dynamic_20260713c,2,30.260759727971163,111188
Nemotron3-Super-120B (FP8),swe_verified,dynamic,3,greedy,4,nemotron3_super_swe_verified_rollout_dynamic_20260713c,2,32.81582174199866,130010
Nemotron3-Super-120B (FP8),swe_verified,dynamic,3,greedy,4,nemotron3_super_swe_verified_rollout_dynamic_20260713c,2,33.024657338974066,131072
Nemotron3-Super-120B (FP8),swe_verified,dynamic,3,greedy,4,nemotron3_super_swe_verified_rollout_dynamic_20260713c,3,32.49337568599731,129776
Nemotron3-Super-120B (FP8),swe_verified,dynamic,3,greedy,4,nemotron3_super_swe_verified_rollout_dynamic_20260713c,3,33.4447238619905,130218
Nemotron3-Super-120B (FP8),swe_verified,dynamic,3,greedy,4,nemotron3_super_swe_verified_rollout_dynamic_20260713c,3,33.823409537028056,131072
Nemotron3-Super-120B (FP8),swe_verified,dynamic,3,greedy,4,nemotron3_super_swe_verified_rollout_dynamic_20260713c,3,32.79265504301293,131063
Nemotron3-Super-120B (FP8),swe_verified,fixed_k3,3,greedy,4,nemotron3_super_swe_verified_rollout_fixed_k3_20260713,0,33.38278770599936,131072
Nemotron3-Super-120B (FP8),swe_verified,fixed_k3,3,greedy,4,nemotron3_super_swe_verified_rollout_fixed_k3_20260713,0,30.642654108996794,130130
Nemotron3-Super-120B (FP8),swe_verified,fixed_k3,3,greedy,4,nemotron3_super_swe_verified_rollout_fixed_k3_20260713,0,31.69834364199778,110408
Nemotron3-Super-120B (FP8),swe_verified,fixed_k3,3,greedy,4,nemotron3_super_swe_verified_rollout_fixed_k3_20260713,0,29.97558449099961,131072
Nemotron3-Super-120B (FP8),swe_verified,fixed_k3,3,greedy,4,nemotron3_super_swe_verified_rollout_fixed_k3_20260713,1,30.183675871998275,126955
Nemotron3-Super-120B (FP8),swe_verified,fixed_k3,3,greedy,4,nemotron3_super_swe_verified_rollout_fixed_k3_20260713,1,29.71625077399949,131072
Nemotron3-Super-120B (FP8),swe_verified,fixed_k3,3,greedy,4,nemotron3_super_swe_verified_rollout_fixed_k3_20260713,1,32.69886919599958,114722
Nemotron3-Super-120B (FP8),swe_verified,fixed_k3,3,greedy,4,nemotron3_super_swe_verified_rollout_fixed_k3_20260713,1,33.68108767299782,131072
Nemotron3-Super-120B (FP8),swe_verified,fixed_k3,3,greedy,4,nemotron3_super_swe_verified_rollout_fixed_k3_20260713,2,31.86359510300099,128844
Nemotron3-Super-120B (FP8),swe_verified,fixed_k3,3,greedy,4,nemotron3_super_swe_verified_rollout_fixed_k3_20260713,2,28.93662085699907,108344
Nemotron3-Super-120B (FP8),swe_verified,fixed_k3,3,greedy,4,nemotron3_super_swe_verified_rollout_fixed_k3_20260713,2,32.011249972998485,129779
Nemotron3-Super-120B (FP8),swe_verified,fixed_k3,3,greedy,4,nemotron3_super_swe_verified_rollout_fixed_k3_20260713,2,31.961866434998228,131072
Nemotron3-Super-120B (FP8),swe_verified,fixed_k3,3,greedy,4,nemotron3_super_swe_verified_rollout_fixed_k3_20260713,3,30.876719234998745,127847
Nemotron3-Super-120B (FP8),swe_verified,fixed_k3,3,greedy,4,nemotron3_super_swe_verified_rollout_fixed_k3_20260713,3,32.63845018600114,129716
Nemotron3-Super-120B (FP8),swe_verified,fixed_k3,3,greedy,4,nemotron3_super_swe_verified_rollout_fixed_k3_20260713,3,32.61363103199983,131072
Nemotron3-Super-120B (FP8),swe_verified,fixed_k3,3,greedy,4,nemotron3_super_swe_verified_rollout_fixed_k3_20260713,3,31.37257288500041,131072
Nemotron3-Ultra-550B (NVFP4),openmath,baseline,0,-,4,nemotron3_ultra_openmath_rollout_baseline_20260713,0,14.888915077997808,19806
Nemotron3-Ultra-550B (NVFP4),openmath,baseline,0,-,4,nemotron3_ultra_openmath_rollout_baseline_20260713,0,60.26057340799889,131072
